address,token,caller,entry_fdv,old_ath,new_ath,old_mult,new_mult,mult_diff
CBdCxKo9QavR9hfShgpEBG3zekorAeD7W1jfq2o3pump,Official Mascot of the Ho..,Cooker,80900000.0,80900000.0,257000000.0,1.0,3.176761433868974,2.176761433868974
CzLSujWBLFsSjncfkh59rUFqvafWcY5tzedWJSuypump,Goatseus Maximus,Cooker,184600000.0,184600000.0,556000000.0,1.0,3.011917659804984,2.011917659804984
5v2DtFAeNaY2zzYtY6AhPaSZHTKmKpbsUSnyyFdGpump,:pill:Click to learn more Jeff The Pig,beep,100000.0,100000.0,280000.0,1.0,2.8,1.7999999999999998
xfe99b493483D493Ae3e19e2a682cb2eA439,算命,melon,1900000.0,1900000.0,5300000.0,1.0,2.789473684210526,1.789473684210526
EeguLg7Zh6F86ZSJtcsDgsxUsA3t5Gci5Kr85AvkxA4B,RIP VC,Cooker,2800000.0,3200000.0,7600000.0,1.1428571428571428,2.7142857142857144,1.5714285714285716
3BeJ9zCgQhaqKMu2HgKJ79yQBChD1Pf3hPwRX44fpump,Cheeseball,Cooker,6900000.0,11900000.0,22700000.0,1.7246376811594204,3.289855072463768,1.5652173913043477
x696F9436B67233384889472Cd7cD58A6fB5DF4f1,Avantis,Cooker,1100000000.0,1100000000.0,2700000000.0,1.0,2.4545454545454546,1.4545454545454546
AA8nmXa7fwfYjYtKEaKwkcCKJL5UmkvXYXE7NVmspump,ZERO,melon,3900000.0,3900000.0,9500000.0,1.0,2.4358974358974357,1.4358974358974357
9AvytnUKsLxPxFHFqS6VLxaxt5p6BhYNr53SD2Chpump,The Official 67 Coin,beep,18700000.0,18700000.0,44100000.0,1.0,2.358288770053476,1.358288770053476
DKAN3tyxnvgUrgGHAHsorBGgVGDVt9uEiRUybHrs77P3,Incognito,beep,404000.0,404000.0,925000.0,1.0,2.2896039603960396,1.2896039603960396
Ce2gx9KGXJ6C9Mp5b5x1sn9Mg87JwEbrQby4Zqo3pump,NotInEmploymentEducationT..,Cooker,17700000.0,17700000.0,38300000.0,1.0,2.1638418079096047,1.1638418079096047
CARDSccUMFKoPRZxt5vt3ksUbxEFEcnZ3H2pd3dKxYjp,Collector Crypt,Cooker,361000000.0,361000000.0,764000000.0,1.0,2.1163434903047094,1.1163434903047094
3BeJ9zCgQhaqKMu2HgKJ79yQBChD1Pf3hPwRX44fpump,Cheeseball,Cooker,9800000.0,11900000.0,22700000.0,1.2142857142857142,2.316326530612245,1.1020408163265307
EbWx89dZ7cMceY6CAyeK13au7FD4eGata6KV2AyvBLV,ADLOWS,melon,674000.0,674000.0,1400000.0,1.0,2.077151335311573,1.077151335311573
CBdCxKo9QavR9hfShgpEBG3zekorAeD7W1jfq2o3pump,Official Mascot of the Ho..,Cooker,124000000.0,127000000.0,257000000.0,1.0241935483870968,2.0725806451612905,1.0483870967741937
C8qZfziFAyL6GmzrL7oDWdsSps9wBm3J3S1bcEuDpump,Ahmed Al Ahmed,beep,170000.0,170000.0,344000.0,1.0,2.023529411764706,1.0235294117647058
